epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,1940.46,0.43824,1.79677,0.71393,0.84566,0.99512,0.33908,1,0.4975,0.46013,0.33908,1,0.4975,0.35815,0.67921,1.34281,0.71963,11.1936,1.08713,0.000507984,0.000507984,0.000507984
30,2012.32,0.45933,1.28319,0.72821,0.59082,0.96644,0.48064,1,0.66333,0.55542,0.48064,1,0.66333,0.33133,0.59323,1.18595,0.71737,7.79935,1.04907,0.000502444,0.000502444,0.000502444
31,2071.4,0.72822,1.95184,0.7189,0.74457,1.2824,0.48064,1,0.66333,0.55542,0.48064,1,0.66333,0.33133,0.59323,1.18595,0.71737,7.79935,1.04907,0.00049532,0.00049532,0.00049532
32,2133.16,0.59164,1.57905,0.73116,0.65029,1.14364,0.48938,1,0.66333,0.597,0.48938,1,0.66333,0.31483,0.62668,0.9933,0.72891,6.15586,1.06417,0.000486612,0.000486612,0.000486612
33,2197.28,0.73233,0.86159,0.75061,1.91457,1.12137,0.49439,1,0.745,0.6455,0.49439,1,0.745,0.40963,0.61098,0.73713,0.7275,4.48122,1.03661,0.00047632,0.00047632,0.00047632
34,2271.58,0.56174,1.19758,0.7403,0.55579,1.02006,0.49439,1,0.745,0.6455,0.49439,1,0.745,0.40963,0.61098,0.73713,0.7275,4.48122,1.03661,0.000464444,0.000464444,0.000464444
35,2336.98,0.69875,2.19142,0.73168,0.76621,1.14878,0.49377,1,0.745,0.695,0.49377,1,0.745,0.48413,0.514,0.64557,0.71014,3.4892,0.99667,0.000450984,0.000450984,0.000450984
36,2400.56,0.74403,2.40362,0.66971,0.69291,1.21826,0.4914,1,0.745,0.72,0.4914,1,0.745,0.54625,0.55256,0.63802,0.69299,2.75599,1.04166,0.00043594,0.00043594,0.00043594
37,2462.7,1.21308,0.96351,0.66577,1.29573,1.80535,0.4914,1,0.745,0.72,0.4914,1,0.745,0.54625,0.55256,0.63802,0.69299,2.75599,1.04166,0.000419312,0.000419312,0.000419312
38,2536.51,0.40351,1.07285,0.68464,0.51525,0.98491,0.42231,1,0.745,0.6705,0.42231,1,0.745,0.54625,0.56356,0.70666,0.67502,3.17568,1.07054,0.0004011,0.0004011,0.0004011
39,2600.01,0.56241,1.61727,0.67154,0.56542,1.11504,0.39651,1,0.695,0.6255,0.39651,1,0.695,0.5659,0.54758,0.726,0.66728,3.27758,1.01061,0.000381304,0.000381304,0.000381304
40,2664.5,0.75093,1.53554,0.71725,0.90247,1.32136,0.39651,1,0.695,0.6255,0.39651,1,0.695,0.5659,0.54758,0.726,0.66728,3.27758,1.01061,0.000359924,0.000359924,0.000359924
41,2730.12,0.64096,1.19339,0.69896,0.78319,1.16208,0.39638,1,0.4475,0.4275,0.39638,1,0.4475,0.3679,0.50781,0.70558,0.66144,3.57558,0.99269,0.00033696,0.00033696,0.00033696
42,2797.07,0.4743,1.37318,0.75746,0.68708,1.17171,0.39628,1,0.4475,0.4475,0.39628,1,0.4475,0.3679,0.45311,0.773,0.65299,3.21766,0.96884,0.000312412,0.000312412,0.000312412
43,2869.28,0.74847,1.37923,0.69958,2.06235,1.23677,0.39628,1,0.4475,0.4475,0.39628,1,0.4475,0.3679,0.45311,0.773,0.65299,3.21766,0.96884,0.00028628,0.00028628,0.00028628
44,2932.14,0.21711,0.46351,0.34852,12.5139,0.48992,0.39516,1,0.4475,0.41265,0.39516,1,0.4475,0.3679,0.46298,0.74395,0.65623,1.57316,0.98836,0.000258564,0.000258564,0.000258564
45,2993.72,0.43899,1.02038,0.65457,1.79333,0.75564,0.39516,1,0.4475,0.41265,0.39516,1,0.4475,0.3679,0.46298,0.74395,0.65623,1.57316,0.98836,0.000229264,0.000229264,0.000229264
46,3057.49,0.51392,0.74118,0.70064,1.24522,0.94955,0.3948,1,0.695,0.6354,0.3948,1,0.695,0.6255,0.41581,0.67421,0.63949,1.60869,0.96066,0.00019838,0.00019838,0.00019838
47,3131.45,0.36709,1.02557,0.65525,0.64173,0.82949,0.3948,1,0.695,0.6354,0.3948,1,0.695,0.6255,0.41581,0.67421,0.63949,1.60869,0.96066,0.000165912,0.000165912,0.000165912
48,3196.73,0.39671,0.78271,0.66933,0.50138,0.98895,0.3956,1,0.695,0.6354,0.3956,1,0.695,0.6255,0.41667,0.52719,0.61062,1.88069,0.93994,0.00013186,0.00013186,0.00013186
49,3258.72,0.49128,0.97423,0.7381,0.49517,1.25,0.3956,1,0.695,0.6354,0.3956,1,0.695,0.6255,0.41667,0.52719,0.61062,1.88069,0.93994,9.6224e-05,9.6224e-05,9.6224e-05
50,3315.49,0.31592,0.56485,0.58432,0.45297,0.97364,0.39567,1,0.695,0.6255,0.39567,1,0.695,0.6255,0.42374,0.46438,0.60164,1.91987,0.94029,5.9004e-05,5.9004e-05,5.9004e-05
